season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
C,R1W8,W08,W09,08,09,Charlotte,IL Chicago,19,22,10,5,136,East,East,A,546,622,57.0,56.0,105.0,96.0,73.206896551724142,75.111111111111114,10.729846579051731,9.6276351210819868,77,62
B,R1Z7,Z07,Z10,07,10,Charlotte,Georgetown,21,19,8,9,137,West,West,A,546,603,52.0,52.0,102.0,92.0,71.724137931034477,68.785714285714292,12.014062311406345,9.3249172453514593,79,67
A,R1Z1,Z01,Z16,01,16,Purdue,W Carolina,25,15,5,11,136,West,West,A,738,833,50.0,51.0,88.0,125.0,73.200000000000003,82.307692307692307,9.2318289989940059,13.52424953347826,73,71
O,R2W4,R1W4,R1W5,04,12,Wisconsin,Cornell,23,25,8,4,139,East,East,B,849,561,47.0,48.0,90.0,104.0,67.483870967741936,75.172413793103445,10.763951090567296,11.782713713294783,69,87
R,R1X7,X07,X10,07,10,San Diego St,Oklahoma,20,20,10,11,137,South,South,A,754,721,45.0,47.0,88.0,90.0,68.266666666666666,71.129032258064512,10.513272035331763,10.894632994999585,70,55
R,R2X1,R1X1,R1X8,01,08,Kansas,North Carolina,29,23,5,10,139,South,South,A,636,708,55.0,52.0,108.0,102.0,75.382352941176464,76.181818181818187,12.527651077615923,12.023851411042175,70,58
O,R3W1,R2W1,R2W4,01,12,Kentucky,Cornell,32,25,2,4,143,East,East,A,640,561,58.0,48.0,104.0,104.0,79.235294117647058,75.172413793103445,11.414796443856162,11.782713713294783,62,45
R,R1W1,W01,W16,01,16,Indiana,James Madison,27,20,6,14,137,East,East,A,625,635,56.0,44.0,101.0,88.0,80.0,65.17647058823529,12.088060726237774,10.872173299259675,83,62
C,R1X6,X06,X11,06,11,Arkansas,Nebraska,23,20,7,11,136,West,West,A,515,698,61.0,49.0,114.0,91.0,83.799999999999997,71.774193548387103,14.711446790396471,9.8920289755369009,74,65
J,R2Y3,R1Y3,R1Y6,03,06,Oklahoma,Utah,24,25,7,5,138,Austin,Austin,B,721,821,61.0,45.0,104.0,92.0,75.41935483870968,67.36666666666666,11.619711266049062,9.4144687700486962,58,67
Q,R3Y1,R2Y1,R2Y4,01,04,Kentucky,Indiana,32,25,2,8,144,South,South,A,640,625,57.0,50.0,108.0,107.0,76.67647058823529,77.272727272727266,9.9638186284626666,12.383451144933433,102,90
M,R1Z5,Z05,Z12,05,12,Drake,W Kentucky,26,25,4,6,137,West,West,B,575,835,56.0,61.0,85.0,96.0,72.266666666666666,76.612903225806448,7.8906414328761789,9.8690700263086164,99,101
G,R1Z6,Z06,Z11,06,11,Gonzaga,Wyoming,28,20,3,8,136,West,West,B,607,852,58.0,51.0,102.0,104.0,80.838709677419359,75.214285714285708,11.273997413956875,13.699210464363953,66,73
F,R5YZ,R4Y1,R4Z1,02,01,Arizona,Michigan St,22,24,7,4,152,Midwest,South,A,511,671,65.0,46.0,105.0,103.0,81.034482758620683,78.428571428571431,10.974838805259369,15.367936406289395,80,61
F,R1X6,X06,X11,06,11,Wisconsin,Georgia St,18,27,10,4,136,West,West,B,849,605,44.0,64.0,78.0,97.0,59.785714285714285,80.903225806451616,7.7383882728397975,10.69324429091286,49,50
M,R5WX,R4W1,R4X1,01,01,North Carolina,Kansas,32,30,2,3,152,East,Midwest,B,708,636,66.0,59.0,110.0,109.0,88.705882352941174,81.181818181818187,11.213252169707649,11.263926183078937,66,84
N,R1Z2,Z02,Z15,02,15,Memphis,CS Northridge,31,16,3,13,136,West,West,A,666,565,51.0,47.0,108.0,99.0,74.058823529411768,73.758620689655174,12.999866914410605,13.01896540307518,81,70
A,R2Y1,R1Y1,R1Y8,01,09,Connecticut,E Michigan,30,22,2,5,138,Southeast,Southeast,A,559,581,63.0,62.0,116.0,109.0,83.5,83.111111111111114,11.070794912742265,10.407736913196883,95,81
A,R1Z2,Z02,Z15,02,15,Kansas,S Carolina St,25,19,4,7,137,West,West,A,636,747,55.0,51.0,108.0,99.0,80.34482758620689,72.34615384615384,11.806707217302421,11.615448293253879,92,54
N,R5YZ,R4Y1,R4Z1,02,01,Michigan St,Connecticut,26,27,6,4,152,Midwest,West,A,671,559,54.0,60.0,118.0,117.0,71.90625,77.322580645161295,12.802244371105404,13.0344137469764,82,73
H,R1Z2,Z02,Z15,02,15,Kansas,Utah St,23,22,7,8,136,West,West,A,636,822,56.0,50.0,105.0,95.0,81.333333333333329,65.966666666666669,11.987030027862986,10.323059408700288,64,61
N,R1W3,W03,W14,03,14,Villanova,American Univ,26,24,7,7,136,East,East,A,829,509,54.0,49.0,107.0,79.0,76.545454545454547,64.451612903225808,13.724763969027288,9.0974605094566829,80,67
F,R1W5,W05,W12,05,12,Ohio St,Utah St,20,25,10,5,136,East,East,B,720,822,42.0,50.0,93.0,89.0,71.266666666666666,71.0,11.6216273482771,10.353743284435827,68,77
B,R1W8,W08,W09,08,09,Indiana,Colorado,22,21,10,9,136,East,East,B,625,556,53.0,41.0,93.0,87.0,72.96875,73.466666666666669,9.8694109974962529,10.480882066357244,62,80
Q,R1X1,X01,X16,01,16,North Carolina,Vermont,29,23,5,11,137,Midwest,Midwest,A,708,828,54.0,43.0,102.0,92.0,81.970588235294116,67.235294117647058,12.809659255507714,12.558238035670197,77,58
N,R1Z7,Z07,Z10,07,10,California,Maryland,22,20,10,13,136,West,West,B,539,662,54.0,44.0,98.0,91.0,75.03125,71.454545454545453,9.5048815583099184,11.165669541435479,71,84
B,R1W5,W05,W12,05,12,California,Princeton,21,23,8,3,136,East,East,A,539,736,56.0,44.0,97.0,86.0,76.379310344827587,64.269230769230774,9.6612050119535517,10.555923208933429,55,52
D,R1Z3,Z03,Z14,03,14,North Carolina,Weber St,24,21,9,7,136,West,West,B,708,842,52.0,53.0,98.0,101.0,71.333333333333329,79.535714285714292,11.047189870750119,11.687851271595598,74,76
K,R3W2,R2W2,R2W3,02,06,Texas,West Virginia,27,19,6,10,143,Atlanta,Atlanta,A,793,843,43.0,52.0,110.0,104.0,76.121212121212125,70.65517241379311,12.194776765031165,12.321206451421441,74,71
M,R1W4,W04,W13,04,13,Washington St,Winthrop,24,20,8,11,136,East,East,A,841,848,51.0,47.0,86.0,85.0,67.0625,65.129032258064512,7.6073052883396235,10.143302050261068,71,40
I,R1Z2,Z02,Z15,02,15,Gonzaga,Valparaiso,27,17,2,12,136,StLouis,StLouis,A,607,826,63.0,49.0,97.0,90.0,82.34482758620689,72.275862068965523,8.535022623119989,8.9438730780432838,76,49
H,R1Z8,Z08,Z09,08,09,Cincinnati,Gonzaga,17,23,11,8,136,West,West,B,549,607,44.0,56.0,101.0,110.0,67.321428571428569,77.064516129032256,13.212692954202819,11.253488301829671,69,74
J,R1Z1,Z01,Z16,01,16,North Carolina,Oakland,27,11,4,18,137,Syracuse,Syracuse,A,708,718,66.0,52.0,110.0,94.0,88.774193548387103,70.34482758620689,12.023390315223759,11.591542285497662,96,68
O,R1W8,W08,W09,08,09,Texas,Wake Forest,24,19,9,10,136,East,East,B,793,839,58.0,47.0,107.0,96.0,81.242424242424249,72.965517241379317,12.603583672740703,11.642617191907021,80,81
N,R3W1,R2W1,R2W4,01,04,Pittsburgh,Xavier,27,25,4,7,143,East,East,A,731,853,56.0,53.0,93.0,88.0,77.709677419354833,72.375,10.716865057941863,8.8978578882785033,60,55
D,R5WX,R4W1,R4X1,01,01,Duke,Michigan St,32,29,1,4,152,East,Midwest,A,577,671,71.0,51.0,120.0,96.0,93.333333333333329,72.333333333333329,12.199519778593041,12.039497288072079,68,62
P,R4Z1,R3Z1,R3Z2,01,11,Kansas,VA Commonwealth,32,23,2,11,146,Southwest,Southwest,B,636,825,63.0,51.0,113.0,101.0,82.382352941176464,71.529411764705884,11.747376943467131,11.32471345986718,61,71
A,R5WX,R4W1,R4X1,01,01,Massachusetts,Kentucky,31,28,1,2,152,East,Midwest,B,663,640,50.0,61.0,94.0,129.0,73.6875,91.900000000000006,9.573523058414807,15.159925241680227,74,81
H,R5YZ,R4Y1,R4Z1,03,02,Marquette,Kansas,23,23,5,7,152,Midwest,West,B,660,636,60.0,56.0,105.0,105.0,78.392857142857139,81.333333333333329,11.935359488614031,11.987030027862986,61,94
C,R1Y3,Y03,Y14,03,14,Stanford,Col Charleston,25,22,4,5,137,Midwest,Midwest,A,783,554,56.0,40.0,99.0,92.0,80.275862068965523,70.037037037037038,12.002576021562575,11.663432826356251,67,57
C,R1Z6,Z06,Z11,06,11,UCLA,Miami FL,21,18,8,9,137,South,South,A,810,668,65.0,56.0,120.0,89.0,83.896551724137936,70.370370370370367,12.026822974834804,8.278254191278398,65,62
Q,R1Z8,Z08,Z09,08,09,Memphis,St Louis,26,24,8,7,137,West,West,B,666,780,58.0,58.0,99.0,86.0,75.294117647058826,69.096774193548384,11.113133226224107,7.2350171710328715,54,61
D,R1Z7,Z07,Z10,07,10,Minnesota,Gonzaga,17,24,10,6,136,West,West,B,673,607,42.0,48.0,98.0,105.0,69.074074074074076,78.966666666666669,12.216946111480125,12.338242266312582,63,75
H,R2Y3,R1Y3,R1Y6,03,06,Marquette,Missouri,23,21,5,10,138,Midwest,Midwest,A,660,676,60.0,47.0,105.0,98.0,78.392857142857139,71.774193548387103,11.935359488614031,11.44047618403088,101,92
R,R1Y3,Y03,Y14,03,14,Michigan St,Valparaiso,24,25,8,7,136,Midwest,Midwest,A,671,826,49.0,48.0,84.0,89.0,67.5,71.46875,8.5073497635867774,10.945845030763957,65,54
F,R3Z2,R2Z2,R2Z3,07,11,Penn St,Temple,19,21,11,12,144,South,South,B,729,789,57.0,51.0,100.0,92.0,77.066666666666663,69.818181818181813,11.138322235517439,10.276346908562592,72,84
D,R2X1,R1X1,R1X8,01,09,Michigan St,Mississippi,29,18,4,12,139,Midwest,Midwest,A,671,674,51.0,52.0,96.0,111.0,72.333333333333329,76.700000000000003,12.039497288072079,13.631214179228495,74,66
I,R2Y4,R1Y4,R1Y5,04,12,Wake Forest,Manhattan,19,24,9,5,138,EastRutherford,EastRutherford,A,839,658,66.0,47.0,119.0,96.0,83.821428571428569,74.34482758620689,11.272766080338972,12.91157155975551,84,80
R,R3W1,R2W1,R2W4,01,04,Indiana,Syracuse,27,26,6,9,143,East,East,B,625,786,56.0,39.0,101.0,108.0,80.0,71.342857142857142,12.088060726237774,14.565993384088367,50,61
P,R2W4,R1W4,R1W5,04,05,Kentucky,West Virginia,25,20,8,11,138,East,East,A,640,843,64.0,50.0,91.0,95.0,76.424242424242422,69.548387096774192,7.9849491109753998,10.811698293015226,71,63
I,R1Y6,Y06,Y11,06,11,Wisconsin,Richmond,24,20,6,12,137,EastRutherford,EastRutherford,A,849,743,51.0,50.0,89.0,75.0,68.63333333333334,64.53125,9.6037608374127199,7.5828110511537874,76,64
I,R3Z1,R2Z1,R2Z4,09,04,UAB,Kansas,20,20,9,8,144,StLouis,StLouis,B,805,636,55.0,55.0,94.0,96.0,74.551724137931032,74.857142857142861,10.162765734394156,11.057364338867059,74,100
C,R2Y3,R1Y3,R1Y6,03,11,Stanford,W Michigan,25,20,4,7,139,Midwest,Midwest,A,783,836,56.0,59.0,99.0,106.0,80.275862068965523,79.481481481481481,12.002576021562575,12.320925802066476,83,65
I,R1Y1,Y01,Y16,01,16,St Joseph's PA,Liberty,27,17,1,14,136,EastRutherford,EastRutherford,A,779,645,57.0,47.0,114.0,91.0,77.785714285714292,68.741935483870961,11.155898961206715,12.821271996519725,82,63
M,R2Z4,R1Z4,R1Z5,13,12,San Diego,W Kentucky,20,25,13,6,139,West,West,B,753,835,46.0,61.0,86.0,96.0,65.0,76.612903225806448,10.38063465100163,9.8690700263086164,63,72
N,R3Z2,R2Z2,R2Z3,02,03,Memphis,Missouri,31,28,3,6,143,West,West,B,666,676,51.0,51.0,108.0,107.0,74.058823529411768,81.117647058823536,12.999866914410605,13.551133457872798,91,102
N,R2Y2,R1Y2,R1Y7,02,10,Michigan St,USC,26,21,6,12,139,Midwest,Midwest,A,671,818,54.0,46.0,118.0,91.0,71.90625,68.36363636363636,12.802244371105404,9.5213259256744358,74,69
G,R1Z2,Z02,Z15,02,15,Oklahoma,IL Chicago,27,18,4,13,137,West,West,A,721,622,55.0,49.0,109.0,99.0,78.225806451612897,72.612903225806448,14.136910456420864,9.5737457507661112,71,63
H,R2X1,R1X1,R1X8,01,09,Texas,Purdue,22,18,6,10,139,South,South,A,793,738,57.0,42.0,100.0,95.0,78.857142857142861,71.75,9.8260378794386529,12.534594984624411,77,67
D,R2Z2,R1Z2,R1Z7,02,10,Stanford,Gonzaga,24,24,6,6,138,West,West,B,783,607,45.0,48.0,101.0,105.0,73.533333333333331,78.966666666666669,13.92056831534626,12.338242266312582,74,82
E,R2Y4,R1Y4,R1Y5,04,05,Illinois,Florida,21,24,9,7,139,East,East,B,623,592,51.0,60.0,107.0,131.0,76.0,84.806451612903231,13.354150416006753,14.085955839952005,76,93
Q,R2X2,R1X2,R1X7,02,10,Kansas,Purdue,27,21,6,12,139,Midwest,Midwest,A,636,738,59.0,45.0,100.0,96.0,75.030303030303031,72.181818181818187,9.8118198617321628,11.209991607745744,63,60
L,R1Y7,Y07,Y10,07,10,UNLV,Georgia Tech,27,20,6,11,137,Midwest,Midwest,A,817,606,50.0,61.0,103.0,112.0,75.030303030303031,79.096774193548384,12.256068004807892,12.642363087369482,67,63
I,R2Y1,R1Y1,R1Y8,01,08,St Joseph's PA,Texas Tech,27,22,1,10,138,EastRutherford,EastRutherford,A,779,796,57.0,44.0,114.0,97.0,77.785714285714292,73.40625,11.155898961206715,11.645437344191931,70,65
E,R2X2,R1X2,R1X7,02,10,St John's,Gonzaga,24,24,7,8,138,West,West,B,778,607,57.0,48.0,98.0,111.0,74.064516129032256,77.9375,10.945423211644123,14.019935582947591,76,82
A,R3Z1,R2Z1,R2Z4,08,04,Georgia,Syracuse,19,24,9,8,144,West,West,B,604,786,62.0,47.0,103.0,97.0,79.214285714285708,76.65625,10.143108648793252,9.9234865817161264,81,83
M,R1Z6,Z06,Z11,06,11,Purdue,Baylor,24,20,8,10,136,West,West,A,738,521,51.0,57.0,84.0,116.0,68.71875,80.733333333333334,7.1380773628127621,13.584141080277726,90,79
K,R1Z2,Z02,Z15,02,15,Tennessee,Winthrop,21,21,7,7,136,WashingtonDC,WashingtonDC,A,790,848,64.0,50.0,106.0,98.0,81.321428571428569,72.678571428571431,10.54261275365217,13.448456022449385,63,61
Q,R1X7,X07,X10,07,10,St Mary's CA,Purdue,25,21,5,12,137,Midwest,Midwest,B,781,738,51.0,45.0,98.0,96.0,73.799999999999997,72.181818181818187,11.571228687280072,11.209991607745744,69,72
Q,R4Y1,R3Y1,R3Y2,01,03,Kentucky,Baylor,32,26,2,7,146,South,South,A,640,521,57.0,54.0,108.0,106.0,76.67647058823529,74.272727272727266,9.9638186284626666,11.155302387199653,82,70
D,R1X4,X04,X13,04,13,Arizona,Oklahoma,22,19,6,10,137,Midwest,Midwest,B,511,721,59.0,50.0,98.0,102.0,82.964285714285708,70.827586206896555,8.3686581227524304,13.681270775614076,60,61
H,R4Y1,R3Y1,R3Y2,01,03,Kentucky,Marquette,29,23,3,5,145,Midwest,Midwest,B,640,660,61.0,60.0,115.0,105.0,77.53125,78.392857142857139,12.703307578638722,11.935359488614031,69,83
H,R4X1,R3X1,R3X2,01,07,Texas,Michigan St,22,19,6,12,146,South,South,A,793,671,57.0,40.0,100.0,82.0,78.857142857142861,67.225806451612897,9.8260378794386529,9.56711328498311,85,76
I,R1Y3,Y03,Y14,03,14,Pittsburgh,UCF,28,24,4,5,137,EastRutherford,EastRutherford,A,731,809,46.0,39.0,90.0,106.0,68.875,70.517241379310349,9.8765821517364998,11.143641111306401,53,44
I,R2Z1,R1Z1,R1Z8,01,09,Kentucky,UAB,26,20,4,9,139,StLouis,StLouis,B,640,805,52.0,55.0,108.0,94.0,73.13333333333334,74.551724137931032,12.880821229857805,10.162765734394156,75,76
N,R3X2,R2X2,R2X3,02,03,Oklahoma,Syracuse,27,25,5,9,144,South,South,A,721,786,61.0,49.0,100.0,127.0,79.1875,80.970588235294116,9.4750906987743395,14.207465506717496,84,71
P,R1W2,W02,W15,02,15,North Carolina,Long Island,26,27,7,5,137,East,East,A,708,648,48.0,62.0,107.0,97.0,76.666666666666671,82.59375,13.697304903380138,8.753068658333488,102,87
H,R1X4,X04,X13,04,13,Stanford,San Diego,23,17,8,11,136,South,South,A,783,753,52.0,49.0,93.0,93.0,72.258064516129039,74.678571428571431,9.8863468641565628,9.8780187842522764,77,69
F,Y16,Y16a,Y16b,16,16,Northwestern LA,Winthrop,18,17,12,12,134,Midwest,Midwest,A,716,848,47.0,44.0,92.0,87.0,72.233333333333334,66.034482758620683,10.610319923965013,10.223309264551682,71,67
A,R1W5,W05,W12,05,12,Penn St,Arkansas,21,18,6,12,136,East,East,B,729,515,49.0,59.0,99.0,116.0,74.629629629629633,78.200000000000003,14.265078177787228,12.962510044997716,80,86
M,R4Z1,R3Z1,R3Z2,01,03,UCLA,Xavier,30,27,3,6,145,West,West,A,810,853,56.0,53.0,89.0,108.0,74.030303030303031,75.333333333333329,8.7680026006578231,13.399834161494521,76,57
Q,Y16,Y16a,Y16b,16,16,MS Valley St,W Kentucky,21,15,12,18,134,South,South,B,685,835,45.0,45.0,90.0,79.0,68.909090909090907,65.060606060606062,10.317280697535351,7.7182954388372176,58,59
H,R1X5,X05,X12,05,12,Connecticut,BYU,21,23,9,8,136,South,South,A,559,536,56.0,54.0,117.0,95.0,80.033333333333331,72.451612903225808,14.206766775808712,9.8204484152182445,58,53
Q,R1Z4,Z04,Z13,04,13,Louisville,Davidson,26,24,9,7,136,West,West,A,651,568,49.0,61.0,95.0,96.0,68.828571428571422,77.354838709677423,12.236913042770491,8.8592884994180494,69,62
J,R1W3,W03,W14,03,14,Gonzaga,Winthrop,25,24,4,5,136,Albuquerque,Albuquerque,A,607,848,54.0,49.0,99.0,89.0,79.689655172413794,66.758620689655174,11.048805359906288,9.1034482758620658,74,64
K,Y16,Y16a,Y16b,16,16,Hampton,Monmouth NJ,16,18,15,14,134,Minneapolis,Minneapolis,B,610,679,40.0,41.0,100.0,96.0,66.806451612903231,64.84375,12.797225896058704,11.864098614623027,49,71
B,R1Y4,Y04,Y13,04,13,Clemson,Miami OH,21,21,9,8,137,Midwest,Midwest,A,551,669,47.0,56.0,89.0,96.0,67.733333333333334,73.965517241379317,11.316458024586236,10.548681102788322,68,56
G,R2Z4,R1Z4,R1Z5,04,12,Ohio St,Missouri,23,21,7,11,138,West,West,B,720,676,55.0,60.0,94.0,117.0,74.200000000000003,79.5,10.406408282079525,13.026415470113028,67,83
K,R1Y2,Y02,Y15,02,15,Ohio St,Davidson,25,17,5,10,137,Minneapolis,Minneapolis,A,720,568,52.0,55.0,104.0,102.0,74.700000000000003,75.592592592592595,12.190570126126177,11.499627237949802,70,62
N,R1Y8,Y08,Y09,08,09,Ohio St,Siena,22,26,10,7,137,Midwest,Midwest,B,720,766,48.0,64.0,93.0,93.0,66.6875,77.666666666666671,11.547287289662451,7.983568984944875,72,74
I,R1Z7,Z07,Z10,07,10,Michigan St,Nevada,18,22,11,8,136,StLouis,StLouis,B,671,699,50.0,53.0,89.0,101.0,71.448275862068968,75.5,9.6117249049292948,9.6150923032490958,66,72
E,R1Y8,Y08,Y09,08,09,Kansas,DePaul,22,20,9,11,137,East,East,A,636,573,53.0,49.0,111.0,105.0,78.548387096774192,70.838709677419359,15.526956184851075,13.399799647499666,81,77
P,R1W8,W08,W09,08,09,George Mason,Villanova,26,21,6,11,137,East,East,A,602,829,60.0,50.0,87.0,88.0,73.34375,72.71875,8.0916985817255949,9.301325090410506,61,57
M,R2Z2,R1Z2,R1Z7,02,07,Duke,West Virginia,27,23,5,10,138,West,West,B,577,843,64.0,39.0,121.0,110.0,84.125,74.696969696969703,11.491165084533423,15.186686451056994,67,73
P,R2X3,R1X3,R1X6,03,06,Connecticut,Cincinnati,26,25,9,8,138,West,West,A,559,549,56.0,51.0,97.0,99.0,73.400000000000006,68.969696969696969,9.8247500876976126,12.71955032673063,69,58
N,R1Z6,Z06,Z11,06,11,Marquette,Utah St,24,29,9,4,137,West,West,A,660,822,56.0,50.0,106.0,97.0,78.848484848484844,72.909090909090907,11.034714402590584,10.888870148594282,58,57
Q,R1X2,X02,X15,02,15,Kansas,Detroit,27,20,6,13,137,Midwest,Midwest,A,636,574,59.0,53.0,100.0,94.0,75.030303030303031,70.878787878787875,9.8118198617321628,10.206229754590549,65,50
F,R1X3,X03,X14,03,14,Maryland,George Mason,21,18,10,11,136,West,West,A,662,602,62.0,35.0,123.0,104.0,85.741935483870961,70.58620689655173,14.895263897510604,14.801018700680148,83,80
H,R1Y4,Y04,Y13,04,13,Dayton,Tulsa,24,22,5,9,136,Midwest,Midwest,B,569,802,55.0,57.0,92.0,94.0,72.793103448275858,73.516129032258064,8.4949449891455338,9.0798286460381625,71,84
Q,R1Z5,Z05,Z12,05,12,New Mexico,Long Beach St,26,23,6,8,136,West,West,A,701,647,44.0,55.0,98.0,89.0,72.5625,73.774193548387103,11.88207026363672,7.3603544682320097,75,68
O,R6CH,R5WX,R5YZ,01,05,Duke,Butler,29,28,5,4,154,South,West,A,577,535,57.0,48.0,114.0,91.0,77.970588235294116,70.09375,13.954727839185683,8.1676166007899766,61,59
M,R1W2,W02,W15,02,15,Tennessee,American Univ,28,21,4,11,137,East,East,A,790,509,47.0,49.0,109.0,87.0,82.40625,65.09375,12.22410368646716,9.2478354730985561,72,57
E,R1Y7,Y07,Y10,07,10,Oregon,Seton Hall,21,20,7,9,137,East,East,B,725,764,58.0,50.0,101.0,97.0,75.142857142857139,72.068965517241381,10.041749583308556,10.919552329091905,71,72
G,R4W1,R3W1,R3W2,01,02,Maryland,Connecticut,26,24,4,6,146,East,East,A,662,559,56.0,46.0,112.0,110.0,85.299999999999997,77.933333333333337,12.36702605048333,13.343995736743258,90,82
B,R6CH,R5WX,R5YZ,04,01,Arizona,Kentucky,19,29,9,4,154,Southeast,West,A,511,640,62.0,58.0,118.0,105.0,85.107142857142861,83.090909090909093,13.294304058812678,10.419572597422011,84,79
L,R2X4,R1X4,R1X5,04,05,Virginia,Tennessee,19,22,10,10,139,South,South,B,830,790,57.0,44.0,108.0,111.0,77.448275862068968,79.65625,13.389615654385901,13.387516048076282,74,77
R,R3Z1,R2Z1,R2Z4,09,13,Wichita St,La Salle,26,21,8,9,143,West,West,A,846,641,52.0,54.0,94.0,100.0,69.441176470588232,72.433333333333337,9.2678799418160871,11.397904290799348,72,58
K,R1W7,W07,W10,07,10,California,NC State,20,21,10,9,137,Atlanta,Atlanta,B,539,695,43.0,42.0,91.0,94.0,69.200000000000003,75.700000000000003,12.111702330115833,11.742089535796715,52,58
C,R1Y8,Y08,Y09,08,09,Rhode Island,Murray St,22,26,8,3,137,Midwest,Midwest,A,741,687,57.0,53.0,96.0,111.0,77.13333333333334,84.931034482758619,9.3763295353542038,13.333729680989768,97,74
O,R3Z1,R2Z1,R2Z4,01,05,Syracuse,Butler,28,28,4,4,143,West,West,B,786,535,59.0,48.0,101.0,91.0,81.46875,70.09375,10.577051736542655,8.1676166007899766,59,63
E,R3W1,R2W1,R2W4,01,04,Michigan St,Syracuse,26,24,7,5,143,Midwest,Midwest,A,671,786,49.0,54.0,114.0,105.0,74.515151515151516,76.241379310344826,12.794698741515333,10.791616070257867,75,58
L,R1W5,W05,W12,05,12,USC,Arkansas,23,21,11,13,137,East,East,A,818,515,50.0,56.0,91.0,92.0,71.411764705882348,71.382352941176464,10.718641395083678,9.2926748693997521,77,60
K,R3Z1,R2Z1,R2Z4,01,05,Connecticut,Washington,27,24,3,6,144,WashingtonDC,WashingtonDC,A,559,840,64.0,54.0,129.0,118.0,81.333333333333329,82.400000000000006,14.826402875351196,14.221111067704941,98,92
P,R2X1,R1X1,R1X8,01,08,Duke,Michigan,30,19,4,13,139,West,West,A,577,670,56.0,50.0,110.0,87.0,81.058823529411768,65.5,11.732160867287703,9.6371676336981906,73,71
I,R2W1,R1W1,R1W8,01,08,Duke,Seton Hall,27,19,5,9,138,Atlanta,Atlanta,A,577,764,56.0,55.0,99.0,91.0,79.75,72.285714285714292,9.7275382291718593,9.497582936339807,90,62
Q,R1Z6,Z06,Z11,06,11,Murray St,Colorado St,27,20,1,11,136,West,West,A,687,557,54.0,51.0,90.0,95.0,74.214285714285708,71.032258064516128,8.4445973551020135,12.046907971564249,58,41
C,R1Z3,Z03,Z14,03,14,Michigan,Davidson,23,18,8,9,137,South,South,A,670,568,53.0,53.0,112.0,93.0,76.612903225806448,70.259259259259252,11.479792679241934,10.782676753469969,80,61
L,R1Z3,Z03,Z14,03,14,Pittsburgh,Wright St,27,23,7,9,136,West,West,A,731,851,42.0,42.0,89.0,81.0,71.147058823529406,64.59375,10.519260634220327,10.008931558238372,79,58
H,R1Y7,Y07,Y10,07,10,Indiana,Alabama,20,17,12,11,137,Midwest,Midwest,A,625,504,47.0,46.0,91.0,89.0,70.53125,69.285714285714292,10.03738130378138,11.170295887042636,67,62
K,R2Z4,R1Z4,R1Z5,04,05,Illinois,Washington,25,24,6,6,138,WashingtonDC,WashingtonDC,B,623,840,48.0,54.0,93.0,118.0,69.967741935483872,82.400000000000006,11.607794575247471,14.221111067704941,64,67
H,R1Z6,Z06,Z11,06,11,Creighton,C Michigan,29,23,4,6,136,West,West,B,562,537,57.0,51.0,106.0,106.0,79.242424242424249,79.34482758620689,12.075595983862366,12.874127655934906,73,79
G,R1X3,X03,X14,03,14,Mississippi St,McNeese St,26,20,7,8,137,Midwest,Midwest,A,675,664,48.0,57.0,104.0,81.0,74.181818181818187,69.857142857142861,13.081225374569293,5.7365637157889333,70,58
B,R1Z1,Z01,Z16,01,16,Kentucky,Montana,29,19,4,10,136,West,West,A,640,680,58.0,60.0,105.0,95.0,83.090909090909093,73.551724137931032,10.419572597422011,8.0754468517187714,92,54
M,R1X8,X08,X09,08,09,UNLV,Kent,25,28,7,6,136,Midwest,Midwest,A,817,639,45.0,49.0,89.0,84.0,69.25,69.235294117647058,11.42092378050042,9.1717559532750332,71,58
C,R2Y2,R1Y2,R1Y7,02,10,Purdue,Detroit,26,22,7,5,139,Midwest,Midwest,A,738,574,57.0,53.0,119.0,94.0,84.242424242424249,73.259259259259252,14.858994425437071,10.163815966794102,80,65
K,R1X1,X01,X16,01,16,Memphis,Oral Roberts,30,20,3,11,137,Oakland,Oakland,A,666,724,57.0,54.0,108.0,90.0,80.909090909090907,74.322580645161295,11.927466738998579,9.222647778699347,94,78
L,R3W1,R2W1,R2W4,01,05,North Carolina,USC,28,23,6,11,144,East,East,A,708,818,69.0,50.0,105.0,91.0,86.264705882352942,71.411764705882348,10.949909544427381,10.718641395083678,74,64
K,R3W1,R2W1,R2W4,01,04,Duke,LSU,30,22,3,8,143,Atlanta,Atlanta,B,577,655,64.0,50.0,104.0,104.0,82.515151515151516,74.766666666666666,9.6141348343679276,11.881872280448436,54,62
B,R5YZ,R4Y1,R4Z1,01,01,Minnesota,Kentucky,26,29,3,4,152,Midwest,West,B,673,640,55.0,58.0,114.0,105.0,77.379310344827587,83.090909090909093,13.993628582454448,10.419572597422011,69,78
I,R1Z3,Z03,Z14,03,14,Georgia Tech,Northern Iowa,23,20,9,9,137,StLouis,StLouis,A,606,714,63.0,47.0,94.0,85.0,78.0625,69.206896551724142,7.0575203683730168,11.111905111014718,65,60
